,x_coordinate,y_coordinate
0,0.40594087668577733,0.6572760154061666
1,0.41557184435387373,0.3870209795119805
2,0.6182069063264621,0.3947678961852375
3,0.6490901661651318,0.3986768602293968
4,0.6875274935956079,0.46935137161338314
5,0.6839519298479936,0.6650726030691169
6,0.6831855863187523,0.6870069719841883
7,0.6809346492021503,0.6884821856356773
8,0.6780761770440552,0.6900120509599488
9,0.6380994819766418,0.6927660381298025
10,0.5920663587886085,0.6930890587317994
11,0.5080636443425138,0.6931214930391266
12,0.4788909833263912,0.6930849297353224
13,0.4235294218233,0.6929539042405759
14,0.41178125378848496,0.6928880446267033
15,0.40692011396341826,0.6926056195650561
