,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.788909,0.783859,0.773647,0.752513,0.743466
recall,0.706165,0.676541,0.658127,0.629303,0.614892
precision,0.893617,0.931643,0.938356,0.935714,0.940024
