,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.82259,0.836105,0.829034,0.806116,0.802462
recall,0.744835,0.727273,0.713843,0.680785,0.673554
precision,0.918471,0.98324,0.988555,0.988006,0.99239
