,tool,panel,level,mean f1,mean precision,mean recall
0,Hypergate,monocyte panel,level 1,0.868,0.811,0.997
0,Hypergate,monocyte panel,level 2,0.64,0.523,0.997
0,Hypergate,PBMC panel,level 1,0.914,0.872,0.982
0,Hypergate,PBMC panel,level 2,0.743,0.676,0.979
0,Hypergate,cyTOF panel,level 2,0.922,0.885,0.971
0,Hypergate,cyTOF panel,level 3,0.648,0.589,0.951
0,Hypergate,cyTOF panel,level 4,0.612,0.527,0.947
0,Hypergate,cyTOF panel,level 5,0.49,0.388,0.952
