,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4
f1,0.225648,0.530577,0.501357,0.495446
recall,0.389831,0.372881,0.335351,0.329298
precision,0.158777,0.919403,0.992832,1.0
