,x_coordinate,y_coordinate
0,314.05284632981665,2332.6752915884626
1,-1.2330958981861817e-05,2244.749779428272
2,-4.279354557795939e-05,1937.6142237850174
3,-4.508951084318156e-05,1859.2200777166975
4,-4.5723226933663785e-05,1752.7041000316283
5,-3.845437012882086e-05,1468.0779705826321
6,-1.8133055110458773e-05,1290.7786045434852
7,287.4348670183077,1033.9117129234485
8,384.48701065987893,967.55027027768
9,480.6778760714508,928.0991255468631
10,594.2600278683371,937.2352017534172
11,759.2175421159602,1131.8078584909092
12,777.4573403768288,1289.4182954397302
13,789.2661565058125,1442.5921718005316
14,520.0011119682939,2301.375499001397
