,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.339377,0.319887,0.314491,0.313842,0.310734
recall,0.85952,0.76,0.69344,0.67328,0.6512
precision,0.211429,0.202576,0.20336,0.20461,0.204051
