,x_coordinate,y_coordinate
0,2320.6093267243223,2219.555626066378
1,2365.1193728448425,1752.9199992911838
2,2401.8412680869646,1698.8035976637896
3,2635.5808250683613,1541.5772672756582
4,2725.3427298926763,1516.2738872155298
5,2765.42801739463,1514.9070074753895
6,3101.93846314788,1556.7461120518283
7,3276.061231114025,2636.235851627459
8,3228.7487788924636,2854.2602349175118
9,3090.347151314261,2935.76487459216
10,2833.628940800484,2928.3046904848256
11,2779.159870459538,2915.6486612918443
12,2475.7739566240693,2803.510779927336
13,2371.337450591442,2514.8855398372916
