,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.994602,0.994362,0.994122,0.991639,0.991479
recall,0.989419,0.988787,0.988313,0.983418,0.983102
precision,0.99984,1.0,1.0,1.0,1.0
