,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5
f1,0.487738,0.944591,0.907104,0.906593,0.891365
recall,0.90404,0.90404,0.838384,0.833333,0.808081
precision,0.333955,0.98895,0.988095,0.993976,0.993789
