marker,hierarchy,cluster
AB_CD16,1,CD16+ CD8+ T cell
AB_CD8,1,CD16+ CD8+ T cell
AB_CD3,2,CD16+ CD8+ T cell
AB_CD8,2,CD16+ CD8+ T cell
